player_id,player_display_name,position,recent_team,age,proj_points,proj_boom_weeks,proj_boom_rate,carry_share,prior_pts,prior_boom_rate,replacement_pts,vor,sim_value,overall_rank,proj_season,is_rookie,draft_round,draft_pick,bye_week
00-0039067,Rashee Rice,WR,KC,26.0,256.2102355957,6.024922,0.35440716,0.0117096019,151.1,0.5,89.7821807861,166.4280548096,98.6537360354,1,2026,False,0,0,5
00-0036900,Ja'Marr Chase,WR,CIN,26.0,240.4203186035,5.405766,0.31798625,0.0079575597,336.6,0.6875,89.7821807861,150.6381378174,89.2939300534,2,2026,False,0,0,6
00-0036963,Amon-Ra St. Brown,WR,DET,27.0,233.1749267578,4.9857764,0.29328096,0.0069767442,340.1,0.4705882353,89.7821807861,143.3927459717,84.9990713805,3,2026,False,0,0,6
00-0031381,Davante Adams,WR,LA,34.0,221.5703430176,4.9099073,0.2888181,0.0,225.9,0.3571428571,89.7821807861,131.7881622314,78.1202098663,4,2026,False,0,0,11
00-0038542,Bijan Robinson,RB,ATL,24.0,249.488571167,5.947662,0.34986246,0.6193548387,388.8,0.5882352941,91.2315444946,158.2570266724,77.9368973663,5,2026,False,0,0,11
00-0037238,Drake London,WR,ATL,25.0,216.8623657227,3.2990963,0.1940645,0.0,216.9,0.4166666667,89.7821807861,127.0801849365,75.3294571303,6,2026,False,0,0,11
00-0033280,Christian McCaffrey,RB,SF,30.0,243.9038543701,5.6980567,0.3351798,0.6731601732,426.6,0.7058823529,91.2315444946,152.6723098755,75.1865897877,7,2026,False,0,0,8
00-0039040,De'Von Achane,RB,MIA,25.0,243.2189941406,5.834082,0.3431813,0.5613207547,334.1,0.375,91.2315444946,151.987449646,74.8493164133,8,2026,False,0,0,6
00-0039919,Rome Odunze,WR,CHI,24.0,213.6104125977,3.4698534,0.20410903,0.0,153.2,0.25,89.7821807861,123.8282318115,73.4017933986,9,2026,False,0,0,10
00-0038543,Jaxon Smith-Njigba,WR,SEA,24.0,210.8323059082,3.8051481,0.22383225,0.014198783,388.9,0.7647058824,89.7821807861,121.0501251221,71.7550121252,10,2026,False,0,0,11
00-0039075,Puka Nacua,WR,LA,25.0,210.7903137207,3.8233156,0.22490092,0.0227790433,395.0,0.625,89.7821807861,121.0081329346,71.7301203713,11,2026,False,0,0,11
00-0036358,CeeDee Lamb,WR,DAL,27.0,206.9459228516,3.9839792,0.23435172,0.0022321429,218.9,0.4615384615,89.7821807861,117.1637420654,69.4512766845,12,2026,False,0,0,14
00-0037744,Trey McBride,TE,ARI,27.0,225.035736084,3.7844296,0.2226135,0.0,324.9,0.4117647059,125.5790863037,99.4566497803,68.3292573988,13,2026,False,0,0,14
00-0037247,George Pickens,WR,DAL,25.0,204.8413848877,4.217327,0.24807806,0.0,304.9,0.2941176471,89.7821807861,115.0592041016,68.2037674649,14,2026,False,0,0,14
00-0040124,Tetairoa McMillan,WR,CAR,23.0,203.9265899658,3.5468674,0.20863926,0.0,219.3,0.0588235294,89.7821807861,114.1444091797,67.6615035008,15,2026,False,0,0,5
00-0039064,Zay Flowers,WR,BAL,26.0,201.3978881836,2.9215906,0.17185827,0.0204081633,258.3,0.2352941176,89.7821807861,111.6157073975,66.162562241,16,2026,False,0,0,13
00-0039139,Jahmyr Gibbs,RB,DET,24.0,221.7797088623,3.927792,0.23104659,0.5651162791,380.6,0.4705882353,91.2315444946,130.5481643677,64.2911035397,17,2026,False,0,0,6
00-0036410,Tee Higgins,WR,CIN,27.0,198.176071167,3.3901308,0.19941945,0.0,214.9,0.2,89.7821807861,108.3938903809,64.2527623225,18,2026,False,0,0,6
00-0034348,Courtland Sutton,WR,DEN,31.0,191.4904174805,4.019535,0.23644324,0.0,223.7,0.1764705882,89.7821807861,101.7082366943,60.2897002368,19,2026,False,0,0,10
00-0036223,Jonathan Taylor,RB,IND,27.0,209.2099304199,3.917315,0.23043029,0.7534883721,370.7,0.4117647059,91.2315444946,117.9783859253,58.100860029,20,2026,False,0,0,13
